1 Malta 13 2 2 2 3 2 0 1 2 0 0 0 0 0 -1 0 0 0
2 Canada 12 3 2 2 2 1 0 1 0 0 0 0 0 0 1 0 0 0
2 Switzerland 12 3 2 2 3 -1 0 1 2 0 0 0 0 0 0 0 0 0
4 Australia 11 2 2 2 2 1 0 0 2 0 -1 0 0 0 1 0 0 0
4 Denmark 11 2 2 2 3 1 0 -1 1 0 0 0 0 0 1 0 0 0
4 New_Zealand 11 2 2 2 1 1 0 1 1 0 0 0 0 0 1 0 0 0
4 Portugal 11 3 2 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0
4 Uruguay 11 2 2 2 3 2 0 1 0 0 0 0 0 0 0 0 -1 0
9 Germany 10 2 2 2 1 2 0 1 1 0 0 0 0 0 -1 0 0 0
9 Iceland 10 2 2 2 3 1 0 -1 0 0 0 0 0 0 1 0 0 0
9 Spain 10 2 2 2 2 1 0 0 1 0 0 0 0 0 0 0 0 0
9 United_Kingdom 10 3 2 2 2 -1 0 0 1 0 0 0 0 0 1 0 0 0
13 Argentina 9 1 2 2 3 1 0 1 1 -1 0 0 0 0 0 0 -1 0
13 Austria 9 2 2 2 2 1 0 -1 1 0 0 0 0 0 0 0 0 0
13 Colombia 9 2 2 2 3 1 0 -1 1 0 0 0 0 0 0 0 -1 0
13 Taiwan 9 3 2 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0
17 Belgium 8 2 2 2 3 -1 0 -1 1 0 0 0 0 0 0 0 0 0
17 France 8 2 2 2 2 -1 0 1 0 0 0 0 0 0 0 0 0 0
17 Greenland 8 1 2 2 3 1 0 -1 0 0 0 0 0 0 0 0 0 0
17 Ireland 8 2 2 2 3 -1 0 -1 0 0 0 0 0 0 1 0 0 0
17 Norway 8 2 2 2 3 -1 0 -1 0 0 0 0 0 0 1 0 0 0
17 Reunion 8 2 2 2 2 -1 0 1 0 0 0 0 0 0 0 0 0 0
17 Sweden 8 3 2 2 1 -1 0 -1 1 0 0 0 0 0 1 0 0 0
24 Andorra 7 3 2 2 3 -1 0 -1 0 0 0 0 -1 0 0 0 0 0
24 French_Polynesia 7 2 2 2 2 -1 0 1 0 -1 0 0 0 0 0 0 0 0
